,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объем двигателя,Цвет,Запас хода
0,Kia Carnival IV,4379000,2020,26000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
1,Kia Carnival III,2519000,2018,43000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
2,Tesla Model X Plaid I Рестайлинг,15490000,2022,70,полный,1020,Электро,внедорожник 5 дв.,,,чёрный,Заряд на 547 км
3,LADA (ВАЗ) Vesta I,1330000,2021,9000,передний,113,Бензин,седан,вариатор,1.6,белый,
4,McLaren 765LT,59500000,2021,1311,задний,765,Бензин,купе,робот,4.0,фиолетовый,
5,Kia Carnival III,2589000,2019,45000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
6,Geely Tugella I,3429000,2021,36000,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
7,Hyundai Solaris II Рестайлинг,1930000,2021,5326,передний,123,Бензин,седан,автомат,1.6,серый,
8,Skoda Octavia III (A7),979000,2013,134000,передний,140,Бензин,лифтбек,робот,1.4,серый,
9,Skoda Octavia III (A7) Рестайлинг,1719000,2019,58000,передний,150,Бензин,лифтбек,робот,1.4,белый,
10,Kia Carnival IV,4379000,2020,26000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
11,Haval F7x I,2469000,2020,15000,полный,190,Бензин,внедорожник 5 дв.,робот,2.0,синий,
12,Kia Carnival III,2717000,2019,41000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
13,LADA (ВАЗ) Vesta SW Cross I,1195000,2017,60000,передний,122,Бензин,универсал 5 дв.,механика,1.8,оранжевый,
14,EXEED TXL I Рестайлинг,3630000,2022,22,полный,186,Бензин,внедорожник 5 дв.,робот,1.6,серый,
15,Renault Duster I,990000,2015,86000,полный,90,Дизель,внедорожник 5 дв.,механика,1.5,серый,
16,Renault Duster II,2800000,2022,15,полный,109,Дизель,внедорожник 5 дв.,механика,1.5,коричневый,
17,Nissan Qashqai II,1725000,2019,79000,передний,144,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,
18,Haval F7x I Рестайлинг,3179000,2022,21,полный,190,Бензин,внедорожник 5 дв.,робот,2.0,красный,
19,Ford Mondeo IV,729000,2008,134000,передний,140,Дизель,универсал 5 дв.,автомат,2.0,серый,
20,Kia Sorento III Prime Рестайлинг,2599000,2018,69000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,серый,
21,Hyundai Solaris I Рестайлинг,690000,2015,196000,передний,123,Бензин,седан,автомат,1.6,белый,
22,BMW 3 серии 316i VI (F3x),1370000,2014,100863,задний,136,Бензин,седан,автомат,1.6,чёрный,
23,Mercedes-Benz C-Класс AMG 63 AMG S IV (W205),4200000,2016,70000,задний,510,Бензин,седан,автомат,4.0,серый,
24,Geely Atlas I,1950000,2019,86000,полный,149,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
25,Chevrolet Captiva I Рестайлинг,1349000,2013,133000,полный,167,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
26,Changan CS35PLUS I,1880000,2021,40000,передний,117,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
27,BMW 3 серии 325i V (E90/E91/E92/E93),800000,2007,170000,задний,218,Бензин,купе,автомат,2.5,синий,
28,Suzuki Jimny III Рестайлинг 1,1069000,2012,134000,полный,85,Бензин,внедорожник 3 дв.,автомат,1.3,чёрный,
29,Chery Tiggo 4 Pro,2245000,2023,17,передний,147,Бензин,внедорожник 5 дв.,вариатор,1.5,серый,
30,BMW X5 40d III (F15),4750000,2018,75000,полный,313,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
31,Chery Tiggo 4 Pro,2499900,2023,80,передний,147,Бензин,внедорожник 5 дв.,вариатор,1.5,красный,
32,Mercedes-Benz Maybach S-Класс 580 II (Z223),25000000,2021,21928,полный,503,Бензин,седан,автомат,4.0,чёрный,
33,Mercedes-Benz Maybach S-Класс 680 II (Z223),35560000,2022,120,полный,612,Бензин,седан,автомат,6.0,белый,
34,Mercedes-Benz Maybach S-Класс 580 II (Z223),34880000,2022,110,полный,503,Бензин,седан,автомат,4.0,белый,
35,Toyota Land Cruiser 200 Series Рестайлинг 1,3399000,2014,180000,полный,235,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,
36,"Mercedes-Benz E-Класс 230 II (W210, S210)",139000,1995,271265,задний,150,Бензин,седан,автомат,2.3,чёрный,
37,Hyundai Solaris I Рестайлинг,749000,2015,118000,передний,123,Бензин,хэтчбек 5 дв.,механика,1.6,коричневый,
38,Tesla Model X Plaid I Рестайлинг,15490000,2022,70,полный,1020,Электро,внедорожник 5 дв.,,,чёрный,Заряд на 547 км
39,Tesla Model Y Long Range I,6330000,2022,70,полный,345,Электро,внедорожник 5 дв.,,,белый,Заряд на 451 км
40,Mercedes-Benz GLC 220 d I (X253) Рестайлинг,4047000,2020,29000,полный,194,Дизель,внедорожник 5 дв.,автомат,2.0,чёрный,
41,Kia Carnival IV,4379000,2020,26000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
42,McLaren 765LT,59500000,2021,1311,задний,765,Бензин,купе,робот,4.0,фиолетовый,
43,Kia Carnival III,2519000,2018,43000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
44,LADA (ВАЗ) Vesta I,1330000,2021,9000,передний,113,Бензин,седан,вариатор,1.6,белый,
45,Kia Carnival III,2589000,2019,45000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
46,Geely Tugella I,3429000,2021,36000,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
47,Kia Carnival III,2519000,2018,43000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
48,Hyundai Solaris I Рестайлинг,690000,2015,196000,передний,123,Бензин,седан,автомат,1.6,белый,
49,Hyundai Solaris II Рестайлинг,1930000,2021,5326,передний,123,Бензин,седан,автомат,1.6,серый,
50,Skoda Octavia III (A7) Рестайлинг,1719000,2019,58000,передний,150,Бензин,лифтбек,робот,1.4,белый,
51,BMW 3 серии 316i VI (F3x),1370000,2014,100863,задний,136,Бензин,седан,автомат,1.6,чёрный,
52,Mercedes-Benz C-Класс AMG 63 AMG S IV (W205),4200000,2016,70000,задний,510,Бензин,седан,автомат,4.0,серый,
53,Skoda Octavia III (A7),979000,2013,134000,передний,140,Бензин,лифтбек,робот,1.4,серый,
54,Haval F7x I,2469000,2020,15000,полный,190,Бензин,внедорожник 5 дв.,робот,2.0,синий,
55,Kia Carnival III,2717000,2019,41000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
56,LADA (ВАЗ) Vesta SW Cross I,1195000,2017,60000,передний,122,Бензин,универсал 5 дв.,механика,1.8,оранжевый,
57,EXEED TXL I Рестайлинг,3630000,2022,22,полный,186,Бензин,внедорожник 5 дв.,робот,1.6,серый,
58,BMW 3 серии 325i V (E90/E91/E92/E93),800000,2007,170000,задний,218,Бензин,купе,автомат,2.5,синий,
59,Renault Duster I,990000,2015,86000,полный,90,Дизель,внедорожник 5 дв.,механика,1.5,серый,
60,Renault Duster II,2800000,2022,15,полный,109,Дизель,внедорожник 5 дв.,механика,1.5,коричневый,
61,Nissan Qashqai II,1725000,2019,79000,передний,144,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,
62,Haval F7x I Рестайлинг,3179000,2022,21,полный,190,Бензин,внедорожник 5 дв.,робот,2.0,красный,
63,BMW X5 40d III (F15),4750000,2018,75000,полный,313,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
64,"Mercedes-Benz E-Класс 230 II (W210, S210)",139000,1995,271265,задний,150,Бензин,седан,автомат,2.3,чёрный,
65,Ford Mustang VI Рестайлинг,2799999,2018,52287,задний,314,Бензин,кабриолет,автомат,2.3,белый,
66,Mercedes-Benz GLE Coupe 350 d I (C292),4290000,2018,77000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,синий,
67,Honda CR-V III Рестайлинг,1395000,2010,210000,полный,166,Бензин,внедорожник 5 дв.,автомат,2.4,серый,
68,Ford Mondeo IV,729000,2008,134000,передний,140,Дизель,универсал 5 дв.,автомат,2.0,серый,
69,Kia Sorento III Prime Рестайлинг,2599000,2018,69000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,серый,
70,Geely Atlas I,1950000,2019,86000,полный,149,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
71,Mercedes-Benz GLE Coupe 350 d I (C292),6500000,2018,10000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
72,Chevrolet Captiva I Рестайлинг,1349000,2013,133000,полный,167,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
73,Changan CS35PLUS I,1880000,2021,40000,передний,117,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
74,BMW X6 30d III (G06),9600000,2022,5500,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
75,Suzuki Jimny III Рестайлинг 1,1069000,2012,134000,полный,85,Бензин,внедорожник 3 дв.,автомат,1.3,чёрный,
76,Toyota Land Cruiser 200 Series Рестайлинг 1,3399000,2014,180000,полный,235,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,
77,Mercedes-Benz GLE Coupe 350 d I (C292),6500000,2018,10000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
78,BMW X6 30d III (G06),9600000,2022,5500,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
79,Porsche Macan S I,2850000,2014,97000,полный,340,Бензин,внедорожник 5 дв.,робот,3.0,коричневый,
80,Hyundai Solaris I Рестайлинг,749000,2015,118000,передний,123,Бензин,хэтчбек 5 дв.,механика,1.6,коричневый,
81,Opel Insignia Country Tourer I Рестайлинг,1300000,2014,174000,полный,249,Бензин,универсал 5 дв.,автомат,2.0,белый,
82,Volkswagen Passat B8,1800000,2016,65000,передний,150,Бензин,седан,робот,1.4,белый,
83,Toyota Camry VIII (XV70),2273000,2018,65000,передний,181,Бензин,седан,автомат,2.5,чёрный,
84,Mercedes-Benz G-Класс AMG 63 AMG II (W463),27894000,2022,88,полный,585,Бензин,внедорожник 5 дв.,автомат,4.0,чёрный,
85,Mercedes-Benz Maybach S-Класс 680 II (Z223),36990000,2022,30,полный,612,Бензин,седан,автомат,6.0,чёрный,
