,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объём двигателя,Цвет,Марка,Класс,Налог
0,Kia Carnival IV,4379000,2020,26000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,Kia,4,14443
1,Kia Carnival III,2519000,2018,43000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,Kia,3,13130
2,Tesla Model X Plaid I Рестайлинг,15490000,2022,70,полный,1020,Электро,внедорожник 5 дв.,автомат,12.0,чёрный,Tesla,5,0
3,LADA (ВАЗ) Vesta I,1330000,2021,9000,передний,113,Бензин,седан,вариатор,1.6,белый,LADA,2,2825
4,McLaren 765LT,59500000,2021,1311,задний,765,Бензин,купе,робот,4.0,фиолетовый,McLaren,5,344250
5,Kia Carnival III,2589000,2019,45000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,Kia,3,13130
6,Geely Tugella I,3429000,2021,36000,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,белый,Geely,4,19635
7,Hyundai Solaris II Рестайлинг,1930000,2021,5326,передний,123,Бензин,седан,автомат,1.6,серый,Hyundai,3,3075
8,Skoda Octavia III (A7),979000,2013,134000,передний,140,Бензин,лифтбек,робот,1.4,серый,Skoda,1,4900
9,Skoda Octavia III (A7) Рестайлинг,1719000,2019,58000,передний,150,Бензин,лифтбек,робот,1.4,белый,Skoda,3,6750
10,Haval F7x I,2469000,2020,15000,полный,190,Бензин,внедорожник 5 дв.,робот,2.0,синий,Haval,3,9500
11,Kia Carnival III,2717000,2019,41000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,Kia,3,13130
12,LADA (ВАЗ) Vesta SW Cross I,1195000,2017,60000,передний,122,Бензин,универсал 5 дв.,механика,1.8,оранжевый,LADA,2,3050
13,EXEED TXL I Рестайлинг,3630000,2022,22,полный,186,Бензин,внедорожник 5 дв.,робот,1.6,серый,EXEED,4,10230
14,Renault Duster I,990000,2015,86000,полный,90,Дизель,внедорожник 5 дв.,механика,1.5,серый,Renault,2,1080
15,Renault Duster II,2800000,2022,15,полный,109,Дизель,внедорожник 5 дв.,механика,1.5,коричневый,Renault,3,2725
16,Nissan Qashqai II,1725000,2019,79000,передний,144,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,Nissan,3,5040
17,Haval F7x I Рестайлинг,3179000,2022,21,полный,190,Бензин,внедорожник 5 дв.,робот,2.0,красный,Haval,4,10450
18,Ford Mondeo IV,729000,2008,134000,передний,140,Дизель,универсал 5 дв.,автомат,2.0,серый,Ford,1,4900
19,Kia Sorento III Prime Рестайлинг,2599000,2018,69000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,серый,Kia,3,13000
20,Hyundai Solaris I Рестайлинг,690000,2015,196000,передний,123,Бензин,седан,автомат,1.6,белый,Hyundai,1,3075
21,BMW 3 серии 316i VI (F3x),1370000,2014,100863,задний,136,Бензин,седан,автомат,1.6,чёрный,BMW,2,4760
22,Mercedes-Benz C-Класс AMG 63 AMG S IV (W205),4200000,2016,70000,задний,510,Бензин,седан,автомат,4.0,серый,Mercedes-Benz,4,76500
23,Geely Atlas I,1950000,2019,86000,полный,149,Бензин,внедорожник 5 дв.,автомат,2.4,белый,Geely,3,5215
24,Chevrolet Captiva I Рестайлинг,1349000,2013,133000,полный,167,Бензин,внедорожник 5 дв.,автомат,2.4,белый,Chevrolet,2,7515
25,Changan CS35PLUS I,1880000,2021,40000,передний,117,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Changan,3,2925
26,BMW 3 серии 325i V (E90/E91/E92/E93),800000,2007,170000,задний,218,Бензин,купе,автомат,2.5,синий,BMW,1,14170
27,Suzuki Jimny III Рестайлинг 1,1069000,2012,134000,полный,85,Бензин,внедорожник 3 дв.,автомат,1.3,чёрный,Suzuki,2,1020
28,Chery Tiggo 4 Pro,2245000,2023,17,передний,147,Бензин,внедорожник 5 дв.,вариатор,1.5,серый,Chery,3,5145
29,BMW X5 40d III (F15),4750000,2018,75000,полный,313,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,4,46950
30,Chery Tiggo 4 Pro,2499900,2023,80,передний,147,Бензин,внедорожник 5 дв.,вариатор,1.5,красный,Chery,3,5145
31,Mercedes-Benz Maybach S-Класс 580 II (Z223),25000000,2021,21928,полный,503,Бензин,седан,автомат,4.0,чёрный,Mercedes-Benz,5,226350
32,Mercedes-Benz Maybach S-Класс 680 II (Z223),35560000,2022,120,полный,612,Бензин,седан,автомат,6.0,белый,Mercedes-Benz,5,275400
33,Mercedes-Benz Maybach S-Класс 580 II (Z223),34880000,2022,110,полный,503,Бензин,седан,автомат,4.0,белый,Mercedes-Benz,5,226350
34,Toyota Land Cruiser 200 Series Рестайлинг 1,3399000,2014,180000,полный,235,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,Toyota,4,17625
35,"Mercedes-Benz E-Класс 230 II (W210, S210)",139000,1995,271265,задний,150,Бензин,седан,автомат,2.3,чёрный,Mercedes-Benz,1,6750
36,Hyundai Solaris I Рестайлинг,749000,2015,118000,передний,123,Бензин,хэтчбек 5 дв.,механика,1.6,коричневый,Hyundai,1,3075
37,Tesla Model Y Long Range I,6330000,2022,70,полный,345,Электро,внедорожник 5 дв.,автомат,4.0,белый,Tesla,5,0
38,Mercedes-Benz GLC 220 d I (X253) Рестайлинг,4047000,2020,29000,полный,194,Дизель,внедорожник 5 дв.,автомат,2.0,чёрный,Mercedes-Benz,4,10670
39,Ford Mustang VI Рестайлинг,2799999,2018,52287,задний,314,Бензин,кабриолет,автомат,2.3,белый,Ford,3,47100
40,Mercedes-Benz GLE Coupe 350 d I (C292),4290000,2018,77000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,синий,Mercedes-Benz,4,18675
41,Honda CR-V III Рестайлинг,1395000,2010,210000,полный,166,Бензин,внедорожник 5 дв.,автомат,2.4,серый,Honda,2,7470
42,Mercedes-Benz GLE Coupe 350 d I (C292),6500000,2018,10000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Mercedes-Benz,5,37350
43,BMW X6 30d III (G06),9600000,2022,5500,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,белый,BMW,5,85800
44,Porsche Macan S I,2850000,2014,97000,полный,340,Бензин,внедорожник 5 дв.,робот,3.0,коричневый,Porsche,3,51000
45,Opel Insignia Country Tourer I Рестайлинг,1300000,2014,174000,полный,249,Бензин,универсал 5 дв.,автомат,2.0,белый,Opel,2,18675
46,Volkswagen Passat B8,1800000,2016,65000,передний,150,Бензин,седан,робот,1.4,белый,Volkswagen,3,6750
47,Toyota Camry VIII (XV70),2273000,2018,65000,передний,181,Бензин,седан,автомат,2.5,чёрный,Toyota,3,9050
48,Mercedes-Benz G-Класс AMG 63 AMG II (W463),27894000,2022,88,полный,585,Бензин,внедорожник 5 дв.,автомат,4.0,чёрный,Mercedes-Benz,5,263250
49,Mercedes-Benz Maybach S-Класс 680 II (Z223),36990000,2022,30,полный,612,Бензин,седан,автомат,6.0,чёрный,Mercedes-Benz,5,275400
50,Toyota Land Cruiser 300 Series,14900000,2022,59,полный,299,Дизель,внедорожник 5 дв.,автомат,3.4,чёрный,Toyota,5,134550
51,Toyota Land Cruiser Prado 120 Series,1219000,2004,220000,полный,163,Дизель,внедорожник 5 дв.,автомат,3.0,серебристый,Toyota,2,7335
52,Hyundai Palisade I,3519000,2019,45000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,Hyundai,4,13000
53,Mercedes-Benz G-Класс AMG 63 AMG II (W463),27500000,2022,28,полный,585,Бензин,внедорожник 5 дв.,автомат,4.0,синий,Mercedes-Benz,5,263250
54,Hyundai Palisade I,4399000,2020,18000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,белый,Hyundai,4,14300
55,Mercedes-Benz S-Класс Long 600 Guard V (W221) Рестайлинг,9100000,2011,61000,задний,517,Бензин,седан,автомат,5.5,чёрный,Mercedes-Benz,5,77550
56,Toyota Camry VIII (XV70) Рестайлинг,3435000,2022,1000,передний,200,Бензин,седан,автомат,2.5,белый,Toyota,4,14300
57,Toyota Land Cruiser 100 Series Рестайлинг 2,1699000,2006,244000,полный,235,Бензин,внедорожник 5 дв.,автомат,4.7,серебристый,Toyota,2,17625
58,Toyota Land Cruiser Prado 150 Series,2370000,2011,177000,полный,173,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Toyota,3,7785
59,Mazda CX-5 I,1449000,2014,105000,передний,150,Бензин,внедорожник 5 дв.,автомат,2.0,серебристый,Mazda,2,6750
60,Mercedes-Benz Maybach S-Класс 580 II (Z223),34950000,2022,60,полный,503,Бензин,седан,автомат,4.0,чёрный,Mercedes-Benz,5,226350
61,LADA (ВАЗ) 2131 (4x4) I,120000,1999,110000,полный,82,Бензин,внедорожник 5 дв.,механика,1.8,синий,LADA,1,984
62,Kia K5 III,2650000,2020,91000,передний,194,Бензин,седан,автомат,2.5,чёрный,Kia,3,9700
63,Kia Sportage IV Рестайлинг,3090000,2021,12,передний,150,Бензин,внедорожник 5 дв.,автомат,2.0,серый,Kia,4,7425
64,Hyundai Solaris II Рестайлинг,1499000,2020,85000,передний,100,Бензин,седан,автомат,1.4,серый,Hyundai,2,2500
65,BMW X5 30d IV (G05),9199999,2021,18600,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,5,85800
66,"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",2949000,2019,92000,задний,197,Бензин,седан,автомат,2.0,чёрный,Mercedes-Benz,3,9850
67,Kia Sorento 4-speed I,395000,2002,285000,полный,140,Дизель,внедорожник 5 дв.,автомат,2.5,чёрный,Kia,1,4900
68,BYD Han I Рестайлинг,6300000,2022,90,полный,517,Электро,седан,автомат,6.1,зелёный,BYD,5,0
69,BMW 7 серии 760i IV (E65/E66),850000,2004,234645,задний,435,Бензин,седан,автомат,6.0,чёрный,BMW,1,65250
70,Toyota Land Cruiser Prado 150 Series,2440000,2010,173000,полный,173,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Toyota,3,7785
71,Hyundai Santa Fe IV,2689000,2019,35000,полный,188,Бензин,внедорожник 5 дв.,автомат,2.4,белый,Hyundai,3,9400
72,Toyota Land Cruiser 200 Series Рестайлинг 1,4300000,2015,158220,полный,235,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,Toyota,4,17625
73,Toyota Land Cruiser 300 Series,11900000,2022,36,полный,415,Бензин,внедорожник 5 дв.,автомат,3.5,белый,Toyota,5,186750
74,Mercedes-Benz Maybach S-Класс 580 II (Z223),34780000,2022,60,полный,503,Бензин,седан,автомат,4.0,синий,Mercedes-Benz,5,226350
75,Hyundai Santa Fe IV,2590000,2019,65000,полный,188,Бензин,внедорожник 5 дв.,автомат,2.4,белый,Hyundai,3,9400
76,Toyota Land Cruiser 300 Series,12210000,2021,48,полный,415,Бензин,внедорожник 5 дв.,автомат,3.5,белый,Toyota,5,186750
77,Mercedes-Benz GLE 300 d II (V167),6595000,2019,75500,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,серый,Mercedes-Benz,5,36750
78,Land Rover Range Rover D350 V,26000000,2022,80,полный,350,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Land Rover,5,157500
79,Mercedes-Benz GLE 300 d II (V167),11999000,2023,89,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,чёрный,Mercedes-Benz,5,55125
80,Audi R8 V10 performance II (4S) Рестайлинг,17100000,2020,11000,полный,620,Бензин,родстер,робот,5.2,синий,Audi,5,279000
81,BMW X6 M Competition III (F96),16000000,2021,18000,полный,625,Бензин,внедорожник 5 дв.,автомат,4.4,зелёный,BMW,5,281250
82,McLaren 720S,26900000,2018,19000,задний,720,Бензин,купе,робот,4.0,жёлтый,McLaren,5,324000
83,Toyota Hilux VIII Рестайлинг,6500000,2022,5300,полный,204,Дизель,пикап двойная кабина,автомат,2.8,красный,Toyota,5,26520
84,"Mercedes-Benz S-Класс 500 VI (W222, C217)",5400000,2014,24156,полный,455,Бензин,купе,автомат,4.7,чёрный,Mercedes-Benz,4,68250
85,Hyundai Palisade I,3766000,2019,45000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,белый,Hyundai,4,13000
86,Porsche Macan S I,4490000,2014,22700,полный,340,Бензин,внедорожник 5 дв.,робот,3.0,чёрный,Porsche,4,51000
87,Ford Mustang VI Рестайлинг,3099999,2021,20114,задний,317,Бензин,купе,автомат,2.3,серый,Ford,4,52305
88,Land Rover Range Rover Sport II,3149000,2015,117000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,коричневый,Land Rover,4,18675
89,Mercedes-Benz V-Класс L 250 d длинный II,4400000,2018,135000,полный,190,Дизель,минивэн,автомат,2.1,чёрный,Mercedes-Benz,4,9500
90,Toyota Highlander III (U50) Рестайлинг,3589000,2019,67000,полный,249,Бензин,внедорожник 5 дв.,автомат,3.5,белый,Toyota,4,18675
91,Toyota Highlander IV (U70),3849000,2020,24000,полный,295,Бензин,внедорожник 5 дв.,автомат,3.5,серый,Toyota,4,48675
92,EXEED TXL I,2289000,2020,81000,полный,186,Бензин,внедорожник 5 дв.,робот,1.6,фиолетовый,EXEED,3,9300
93,EXEED TXL I Рестайлинг,4249900,2023,80,полный,186,Бензин,внедорожник 5 дв.,робот,1.6,синий,EXEED,4,10230
94,BMW 5 серии 530d xDrive VII (G30/G31),4700000,2019,34000,полный,249,Дизель,седан,автомат,3.0,серый,BMW,4,18675
95,Porsche Cayenne S Diesel II Рестайлинг (958),5250000,2014,113645,полный,385,Дизель,внедорожник 5 дв.,автомат,4.1,синий,Porsche,4,57750
96,Chevrolet Equinox III,1640000,2019,42000,полный,170,Бензин,внедорожник 5 дв.,автомат,1.5,серебристый,Chevrolet,2,7650
97,Mercedes-Benz GLS 400 d II (X167),15790000,2023,10,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,Mercedes-Benz,5,148500
98,LADA (ВАЗ) 2131 (4x4) I,410000,2011,11000,полный,83,Бензин,внедорожник 5 дв.,механика,1.7,зелёный,LADA,1,996
